2024-11-24 07:50:41.649 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-11-24 07:50:41.651 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-11-24 07:50:41.667 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
2024-11-24 07:50:41.884 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-11-24 07:50:41.889 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-11-24 07:50:41.891 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-11-24 07:50:41.892 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.33]
2024-11-24 07:50:41.931 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-11-24 07:50:41.932 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 611 ms
2024-11-24 07:50:42.472 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2024-11-24 07:50:42.484 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
2024-11-24 07:50:42.487 [main] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2024-11-24 07:50:42.519 [main] INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#2d22d3b1:0/SimpleConnection@343db2f6 [delegate=amqp://root@127.0.0.1:5672/, localPort=53662]
2024-11-24 07:50:42.557 [main] INFO  com.gtcafe.asimov.consumer.Main - Started Main in 1.589 seconds (process running for 1.746)
2024-11-24 07:50:42.573 [pool-3-thread-5] WARN  o.s.a.r.l.BlockingQueueConsumer - Cancel received for amq.ctag-IOMEnLoPAkLkLOTZ0OOA3g (asimov.platform.hello); Consumer@5a466dd: tags=[[amq.ctag-IOMEnLoPAkLkLOTZ0OOA3g]], channel=Cached Rabbit Channel: AMQChannel(amqp://root@127.0.0.1:5672/,1), conn: Proxy@466fedfa Shared Rabbit Connection: SimpleConnection@343db2f6 [delegate=amqp://root@127.0.0.1:5672/, localPort=53662], acknowledgeMode=AUTO local queue size=0
2024-11-24 07:50:42.577 [pool-3-thread-6] WARN  o.s.a.r.l.BlockingQueueConsumer - Cancel received for amq.ctag-nebmlUFkuZ2l6JgtoFsa2Q (asimov.platform.tenant); Consumer@4af70b83: tags=[[amq.ctag-nebmlUFkuZ2l6JgtoFsa2Q]], channel=Cached Rabbit Channel: AMQChannel(amqp://root@127.0.0.1:5672/,2), conn: Proxy@466fedfa Shared Rabbit Connection: SimpleConnection@343db2f6 [delegate=amqp://root@127.0.0.1:5672/, localPort=53662], acknowledgeMode=AUTO local queue size=0
2024-11-24 07:50:43.547 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.rabbit.support.ConsumerCancelledException
